True Values (Train),RF Train Predictions,True Values (Test),RF Test Predictions,Best Params
0.20933773256113,0.2093643642895306,0.266181344829752,0.19604900903776729,"{'hidden_layer_1': 128, 'hidden_layer_2': 128, 'learning_rate': 0.014180987597831183, 'alpha': 0.09157643010035206, 'dropout_rate': 0.2}"
0.256598617446431,0.25582528688118267,0.164957767152992,0.1545534210636466,
0.148,0.1518886325377651,0.12103098011761,0.1191403832831846,
0.1393,0.13444371350832449,0.269324086263651,0.3088685465444947,
0.219126329862329,0.21709429223521218,0.1013,0.09899172451144397,
0.100287918961057,0.1082677098808572,0.191384030027889,0.1795118608175313,
0.2507,0.2504885137537572,0.2481,0.22373527119856912,
0.269940592064429,0.26858319966767474,0.149745501238967,0.1772823032829236,
0.14958111798616,0.15499071071118203,0.14381168025378,0.13622184796582248,
0.2527,0.25661126467229295,0.237598204505554,0.2655694345781467,
0.253141558168565,0.24693466907091116,0.1367,0.14553133230612805,
0.120420003791172,0.12574020353069235,0.230178843681676,0.2668454586595995,
0.1463,0.14524255133917585,0.116624511788089,0.11433084383291232,
0.1791,0.19859539230025414,0.163405321803679,0.178870440895174,
0.157405749758404,0.15435821595685592,0.1329,0.13718243926667814,
0.1795,0.1778642384341079,0.111639519852608,0.10219432116479597,
0.202605420022943,0.2004169702836787,0.1556,0.15692339108610195,
0.37269825685335,0.36783177611214923,0.184690414788363,0.20759135212261487,
0.133495071283062,0.13828753274272707,0.28293067299788,0.27200641215200005,
0.2001,0.18988990712373172,0.188229303652197,0.18342164015911377,
0.1079,0.10868247196815112,0.122940931306794,0.12377190389439874,
0.158277291539291,0.15891615986146257,0.2754,0.30662259930335795,
0.239803171693749,0.23830208193133895,0.138168083653289,0.13561986128677658,
0.119029903714954,0.11870913171928694,0.2358,0.23774346572766297,
0.1933,0.19094618597585494,0.2494,0.2525967032557161,
0.1227,0.12027672464572518,0.139119278355405,0.13645032201029997,
0.169605571226253,0.16529185280903025,0.2127,0.2247027276495139,
0.2343,0.23504244811723343,,,
0.149409251402873,0.14887891064917305,,,
0.17862841107946,0.18458942412997068,,,
0.1211,0.12129697077495591,,,
0.260812725468356,0.2613118972787766,,,
0.28778975730544,0.29006751050777013,,,
0.251732457356755,0.25199269768852217,,,
0.187208282144144,0.19498746464010075,,,
0.17881323763852,0.18889641415301298,,,
0.1617,0.1546441838316775,,,
0.1223,0.12781627535153095,,,
0.241043631738805,0.241161927318642,,,
0.137907143380336,0.13482211602151117,,,
0.2897,0.29090095025177626,,,
0.138567515427412,0.14096340928464185,,,
0.1335,0.13736018270942896,,,
0.219965542853072,0.2107731657915951,,,
0.188857710781843,0.1871041393843115,,,
0.124645165136985,0.13165227988054418,,,
0.1564,0.16841306992894045,,,
0.145461705902587,0.1450636893484237,,,
0.214271680536617,0.22180046629928984,,,
0.182335600221006,0.20028574395352736,,,
0.0976323759107233,0.09580164663196808,,,
0.345823661875013,0.3494311192225932,,,
0.1604,0.15484573684688108,,,
0.105940042634541,0.10754387119055495,,,
0.147761835415958,0.1550847147712614,,,
0.127965749925406,0.13852688040393182,,,
0.125961504617396,0.12633092881547625,,,
0.136509137686091,0.1363830500792212,,,
0.15289354449039,0.15571977183080557,,,
0.1886,0.17911663064659425,,,
0.275023804004732,0.27454648084741107,,,
0.130283404859182,0.13292153107984953,,,
0.3568,0.35458687595409466,,,
