True Values (Train),Train Predictions,True Values (Test),Test Predictions,Best Params
0.20933773256113,0.216573147814413,0.266181344829752,0.16493158596477647,"{'C': 1.1802039470270747, 'epsilon': 0.001, 'gamma': 'scale'}"
0.256598617446431,0.2341522936745904,0.164957767152992,0.15164822977481457,
0.148,0.15885609538568207,0.12103098011761,0.130449540617307,
0.1393,0.125157885874229,0.269324086263651,0.2807692093784532,
0.219126329862329,0.21919764071440734,0.1013,0.09952346313942058,
0.100287918961057,0.10019591755507307,0.191384030027889,0.1784840103170421,
0.2507,0.22312518343546756,0.2481,0.17881565683788092,
0.269940592064429,0.2471456193325409,0.149745501238967,0.19614643451090036,
0.14958111798616,0.169170300485541,0.14381168025378,0.12862568645482253,
0.2527,0.25242908232770045,0.237598204505554,0.23200954959473302,
0.253141558168565,0.22661327906499684,0.1367,0.1704530093934341,
0.120420003791172,0.13147152006454535,0.230178843681676,0.2340162682698384,
0.1463,0.15432666554108743,0.116624511788089,0.11907112480617195,
0.1791,0.204170980607184,0.163405321803679,0.18512935290488014,
0.157405749758404,0.15735312569883114,0.1329,0.13411950098851927,
0.1795,0.1846768437309369,0.111639519852608,0.100521463204493,
0.202605420022943,0.19261085526286764,0.1556,0.1563622785894873,
0.37269825685335,0.29432949309167233,0.184690414788363,0.2095237717652646,
0.133495071283062,0.13460353603604658,0.28293067299788,0.27407812110688234,
0.2001,0.18422815729044373,0.188229303652197,0.16838280264955482,
0.1079,0.10778639333991873,0.122940931306794,0.13323053709184268,
0.158277291539291,0.15822734441775185,0.2754,0.2681095810258124,
0.239803171693749,0.18832447220339021,0.138168083653289,0.15414862519275258,
0.119029903714954,0.11912266937411817,0.2358,0.2284457331154431,
0.1933,0.19337489812050498,0.2494,0.2290571734286427,
0.1227,0.12262945388171848,0.139119278355405,0.12995920185090795,
0.169605571226253,0.18036029261195846,0.2127,0.22907277942843024,
0.2343,0.19486172758789733,,,
0.149409251402873,0.14931463715998028,,,
0.17862841107946,0.17990282541460212,,,
0.1211,0.12119273148916145,,,
0.260812725468356,0.227378780200828,,,
0.28778975730544,0.2878811677524297,,,
0.251732457356755,0.2517262401984695,,,
0.187208282144144,0.1871546700703946,,,
0.17881323763852,0.1917831617175589,,,
0.1617,0.1601058483941552,,,
0.1223,0.13029539324880193,,,
0.241043631738805,0.1861061271964388,,,
0.137907143380336,0.13039322252872704,,,
0.2897,0.28272305092191713,,,
0.138567515427412,0.16173217058305375,,,
0.1335,0.1346261730999905,,,
0.219965542853072,0.2198924167848866,,,
0.188857710781843,0.18875972291806917,,,
0.124645165136985,0.13172404897620943,,,
0.1564,0.19340787463369027,,,
0.145461705902587,0.14554881454305818,,,
0.214271680536617,0.21420927924097993,,,
0.182335600221006,0.2052493033734089,,,
0.0976323759107233,0.09768458487446816,,,
0.345823661875013,0.31134451641465855,,,
0.1604,0.14827134979775422,,,
0.105940042634541,0.11197866260025886,,,
0.147761835415958,0.1478272810050607,,,
0.127965749925406,0.16099589629318894,,,
0.125961504617396,0.12599582488342992,,,
0.136509137686091,0.15993352426056162,,,
0.15289354449039,0.1529421487617808,,,
0.1886,0.1652734417663767,,,
0.275023804004732,0.2448961517846281,,,
0.130283404859182,0.13059142061105194,,,
0.3568,0.30159921180920973,,,
